date,ticker,close,high,low,open,volume,daily_return,sma_50d,vol_30d,is_benchmark
2015-12-23,CM.TO,27.758943557739258,27.788890309349938,27.53136378088954,27.639165689762095,2180000,0.009473961951000698,29.063331871032716,0.16190385401182228,0
2015-12-24,CM.TO,27.86075782775879,27.995509073189115,27.633175763509662,27.666115362991103,958000,0.0036678006065957725,29.038460693359376,0.15926926550612752,0
2015-12-29,CM.TO,27.85477066040039,27.968562847484538,27.758946983423392,27.80386483176626,1211200,-0.00021489606978430942,29.010038948059083,0.1563513409226837,0
2015-12-30,CM.TO,27.669103622436523,27.848772666588115,27.58226308942982,27.827811316180693,1186600,-0.006665538202682786,28.978258895874024,0.14779608910591974,0
2015-12-31,CM.TO,27.306777954101562,27.591253828958482,27.279826333486977,27.552326248755723,1700600,-0.013094955054530732,28.93751708984375,0.15076474295845452,0
2016-01-04,CM.TO,27.465482711791992,27.49842230862679,26.740816150658834,27.055236459605254,3039400,0.005811918123668436,28.89983097076416,0.14996367743998612,0
2016-01-05,CM.TO,27.513391494750977,27.537347978903163,27.216937428369896,27.42655095316135,2346800,0.0017443269962416075,28.85139156341553,0.14858683531387185,0
2016-01-06,CM.TO,27.33371925354004,27.498417207159513,27.189984934577414,27.249873853375874,2009000,-0.006530355999376347,28.795513954162598,0.1489176515473716,0
2016-01-07,CM.TO,26.85460090637207,27.079187777594644,26.788721725274918,26.95341967801779,4199200,-0.017528472533276496,28.73454936981201,0.15452440385810745,0
2016-01-08,CM.TO,26.692890167236328,27.106129065248386,26.683907060590542,26.986351263817728,3368600,-0.0060217144801199,28.667748069763185,0.1547394304668402,0
2016-01-11,CM.TO,26.570131301879883,26.827655538983812,26.447356020415334,26.755788363155187,2949000,-0.004598934944374133,28.59145278930664,0.15476835942573655,0
2016-01-12,CM.TO,26.618040084838867,26.9234795583173,26.444358994791617,26.692902387312735,2949800,0.0018031067447377147,28.518777351379395,0.15464550481792402,0
2016-01-13,CM.TO,25.932294845581055,26.75577997354741,25.87540106300563,26.743801733895843,3244600,-0.025762424170681197,28.4442760848999,0.1662785959590657,0
2016-01-14,CM.TO,25.93828582763672,26.031114331743314,25.617875333065015,25.974218262973118,4206800,0.00023102398346686037,28.370308876037598,0.16525346365238694,0
2016-01-15,CM.TO,25.42024040222168,25.65081754743817,25.294472296439544,25.456175125851964,4327200,-0.019972230580598826,28.28769592285156,0.165879488948706,0
2016-01-18,CM.TO,25.28848648071289,25.468157845845084,25.243570924046153,25.33340432199594,1175600,-0.005183032080895433,28.20055519104004,0.16583979496215673,0
2016-01-19,CM.TO,25.70472526550293,25.91434113363413,25.534039266179214,25.60291360625781,2316200,0.01645961632015802,28.121206588745117,0.1698104173851882,0
2016-01-20,CM.TO,24.98004722595215,25.459165402915563,24.611726055536646,25.45317742522288,4841200,-0.028192405562230904,28.02559013366699,0.18337824133464942,0
2016-01-21,CM.TO,25.32142448425293,25.492110442687796,24.932141881750052,24.974064588410112,3221600,0.013665997314293188,27.94348503112793,0.18374605038464162,0
2016-01-22,CM.TO,26.375486373901367,26.393452595021483,25.67776918193282,25.71669675589844,2729400,0.041627274575486206,27.88115997314453,0.22348651808069048,0
2016-01-25,CM.TO,25.6418399810791,26.378484905765596,25.602912398724307,26.37549205801134,1873600,-0.027815464041952676,27.80398452758789,0.2350650822350935,0
2016-01-26,CM.TO,26.052085876464844,26.108981967502242,25.67477916545789,25.830494061576058,2093800,0.01599908180101184,27.742644157409668,0.23785006974530287,0
2016-01-27,CM.TO,26.25570297241211,26.50125119720497,25.87540353673403,25.94427556554529,3568800,0.007815769413350937,27.692119064331056,0.2371377138682388,0
2016-01-28,CM.TO,27.01630210876465,27.0911643946858,26.37248599291959,26.462321649871235,3952800,0.02896891152187897,27.647223777770996,0.25267806782067986,0
2016-01-29,CM.TO,27.32173728942871,27.321737289428707,26.64498391769455,27.175007859137825,4209800,0.01130558799033321,27.607076873779295,0.25355749444242176,0
2016-02-01,CM.TO,27.064218521118164,27.175015550231056,26.764769313953085,27.121114601556695,1830000,-0.00942541704367339,27.557461662292482,0.2518668207783113,0
2016-02-02,CM.TO,26.674928665161133,26.827646074342077,26.411411972396163,26.827646074342077,2004800,-0.014383931154460239,27.496748390197755,0.2549044079421728,0
2016-02-03,CM.TO,26.668954849243164,26.890548983830918,26.312611723458833,26.878570737262642,2693200,-0.00022394871202680022,27.4386958694458,0.2501551856008309,0
2016-02-04,CM.TO,26.899518966674805,26.96839099505155,26.618036021267734,26.71086453108674,2305600,0.008645412568096367,27.384426307678222,0.25158346753097866,0
2016-02-05,CM.TO,26.821666717529297,27.05224161318978,26.74081643283741,26.905512134133108,1760600,-0.00289418741063574,27.330610885620118,0.25122188383536986,0
2016-02-08,CM.TO,26.477294921875,26.644988009719388,26.345538841316507,26.53119586357215,2659600,-0.012839313801078278,27.27233295440674,0.2516854538692769,0
2016-02-09,CM.TO,25.803537368774414,26.183839137363275,25.47414370119038,26.135926168091935,3153800,-0.02544661586799568,27.1992786026001,0.2605274708672676,0
2016-02-10,CM.TO,25.3603572845459,26.279666375108917,25.30346119693116,26.06705768535968,2740600,-0.017175167803342384,27.115349578857423,0.2638933883864597,0
2016-02-11,CM.TO,24.953102111816406,25.12378806256785,24.74348630333579,25.12378806256785,3192200,-0.016058731671641957,27.021264457702635,0.26642263698267343,0
2016-02-12,CM.TO,26.07004737854004,26.102986974266578,25.243569207445482,25.264530560669993,2767600,0.04476177998705455,26.943958168029784,0.29875172246491166,0
2016-02-16,CM.TO,26.653980255126953,26.680929592904736,26.07304793822846,26.426398169442496,2834400,0.02239861202045934,26.88081474304199,0.3059983096841836,0
2016-02-17,CM.TO,27.219942092895508,27.237908319993664,26.839640198794054,26.91450252452555,2874600,0.02123367063197601,26.842121810913085,0.31256108833180213,0
2016-02-18,CM.TO,27.273836135864258,27.36965979709289,26.91449569279466,26.91449569279466,1737400,0.0019799470103507577,26.8090612411499,0.3120292759934814,0
2016-02-19,CM.TO,27.10015296936035,27.18699351269787,26.779742412377974,27.001334183705644,2106800,-0.0063681238546241525,26.785066261291504,0.3081994435069129,0
2016-02-22,CM.TO,26.91449546813965,27.435538763548976,26.869579912170117,27.336719971183456,2317800,-0.0068507916331914664,26.76469295501709,0.30836085539613844,0
2016-02-23,CM.TO,26.710865020751953,27.151055665705954,26.546169348202756,26.773751356844688,2251800,-0.0075658281474659805,26.73811752319336,0.3089029721962466,0
2016-02-24,CM.TO,26.186830520629883,26.438369026011106,25.468154298662952,26.354523619089363,3844600,-0.019618776842866836,26.709992904663086,0.31422563472098225,0
2016-02-25,CM.TO,26.848617553710938,27.049247978258883,26.501255369762685,26.5761176730671,2905000,0.025271749956899292,26.702083587646484,0.3131798319776794,0
2016-02-26,CM.TO,26.944442749023438,27.21394522861437,26.77674962650764,27.097160211560613,2169800,0.0035690923423077336,26.695854148864747,0.31322608365233623,0
2016-02-29,CM.TO,26.935455322265625,27.034274109127328,26.65996259945373,26.992351402813178,2924400,-0.00033355400375234545,26.6846541595459,0.306653838455771,0
2016-03-01,CM.TO,27.396604537963867,27.44751263431351,27.04325441805552,27.04924468097473,3186000,0.0171205279502753,26.675579109191894,0.3088492612501313,0
2016-03-02,CM.TO,27.61220932006836,27.71402323187342,27.013310944746326,27.321743242498613,2336800,0.00786976290458652,26.671111907958984,0.3065560215231694,0
2016-03-03,CM.TO,27.755950927734375,27.99251610269058,27.558313331714103,27.684081464845328,2082800,0.005205726423403112,26.679338150024414,0.2923897573574475,0
2016-03-04,CM.TO,27.77690887451172,27.92363834515837,27.609215766299414,27.81883158041076,2053600,0.0007550794001585093,26.687392234802246,0.2909494576362651,0
2016-03-07,CM.TO,28.157201766967773,28.238054312711927,27.66311023784817,27.71701117347241,1984000,0.013690972389120537,26.700567779541014,0.26939751594670214,0
2016-03-08,CM.TO,28.501583099365234,28.585428533808006,28.00449618857345,28.07935850998546,3376400,0.012230666074264152,26.715420570373535,0.25509356170765374,0
2016-03-09,CM.TO,28.64231300354004,28.82797002313085,28.543494231077684,28.591407193950033,2236400,0.004937617103028202,26.73105167388916,0.2524428736618661,0
2016-03-10,CM.TO,28.65130043029785,28.923798022694722,28.450670008423124,28.807013013865184,1859600,0.00031378145880545105,26.74698226928711,0.25220934012032253,0
2016-03-11,CM.TO,29.043569564819336,29.160354539074117,28.762088945017926,28.896840135430214,2486800,0.013691145903683699,26.774471588134766,0.2422488762237374,0
2016-03-14,CM.TO,29.11545181274414,29.21127548211649,29.01064274672297,29.016633011155516,1780800,0.0024749797976579835,26.810645065307618,0.24081576019010292,0
2016-03-15,CM.TO,29.199289321899414,29.2112675629007,28.93277974231442,28.986680684512276,1569400,0.0028794850821645124,26.845321197509765,0.23826684378941604,0
2016-03-16,CM.TO,29.08250617980957,29.42088294233342,28.995665640482347,29.211269423002896,3083000,-0.0039995200157921795,26.876703491210936,0.23367522020618461,0
2016-03-17,CM.TO,29.639482498168945,29.765250612490245,29.058550325423795,29.16335708735821,3320600,0.019151592882529878,26.922818756103517,0.23806684308597695,0
2016-03-18,CM.TO,29.51371192932129,29.732310846911226,29.35500422150341,29.5256901712757,6914000,-0.004243345640580154,26.9760009765625,0.23863940904191083,0
2016-03-21,CM.TO,29.4837703704834,29.708357288861194,29.325062647035026,29.531683343019807,2456800,-0.001014496546879462,27.03181858062744,0.23828388235489423,0
2016-03-22,CM.TO,29.402917861938477,29.567613552193095,29.33404354027906,29.411900972455772,2585400,-0.0027422716812998127,27.088474311828612,0.23411362852859466,0
2016-03-23,CM.TO,29.260475158691406,29.569627698088087,29.127114060862162,29.55447449941152,1982800,-0.004844509103345107,27.141323013305666,0.21902733097299454,0
2016-03-24,CM.TO,29.04526138305664,29.084662448823714,28.64518066272736,29.081630886101685,3036800,-0.007355101872665193,27.203582344055175,0.21241356151284072,0
2016-03-28,CM.TO,29.23318099975586,29.31501701859776,28.966461250637977,29.09072990428488,2278000,0.006469888985362715,27.269480247497558,0.20319259808466916,0
2016-03-29,CM.TO,29.490806579589844,29.50292820578545,28.969488781794585,29.096786668492072,3202400,0.00881277955471682,27.350891571044922,0.1659259562041744,0
2016-03-30,CM.TO,29.642351150512695,29.75752509397448,29.566578271613025,29.612040149029024,1732400,0.005138705532310883,27.43796886444092,0.15673569050014985,0
2016-03-31,CM.TO,29.40593719482422,29.663566827477723,29.29682637896277,29.53020582350694,2368800,-0.007975546692907565,27.511993103027343,0.150926914545096,0
2016-04-01,CM.TO,29.569612503051758,29.599923509641535,29.081634895742162,29.1331622195017,1717000,0.005566063313783731,27.603784408569336,0.1511521134120559,0
2016-04-04,CM.TO,29.360471725463867,29.63325220034366,29.19073892870679,29.578695642886817,1799600,-0.007072827808152882,27.684565353393555,0.15153447774398893,0
2016-04-05,CM.TO,29.257417678833008,29.324098168684472,29.039191462011605,29.236201369553388,1675600,-0.003509958817912384,27.74220397949219,0.1500029600509878,0
2016-04-06,CM.TO,29.145294189453125,29.302900830078396,28.839170975316726,29.278652943088115,2803600,-0.00383230983030336,27.812273063659667,0.14813335216744067,0
2016-04-07,CM.TO,28.830074310302734,29.1149788466682,28.705805642254003,28.987680927500307,1762800,-0.01081546396826083,27.867832832336425,0.13835102721994874,0
2016-04-08,CM.TO,29.178621292114258,29.336230186531022,28.981613642700683,28.987674455991364,2257000,0.012089701124598395,27.926291198730468,0.12471925168742543,0
2016-04-11,CM.TO,29.187715530395508,29.45443524676445,29.17256002879522,29.26045685078615,1497200,0.00031167470834914113,27.969719467163085,0.1249036192488007,0
2016-04-12,CM.TO,29.442310333251953,29.633257160107757,29.148311186216564,29.281672196188445,2538000,0.008722669733824073,28.01213092803955,0.12574791720289305,0
2016-04-13,CM.TO,29.724193572998047,29.83633829917495,29.651452235361763,29.66357617703538,2190600,0.009574086970604911,28.06533042907715,0.12016278048500473,0
2016-04-14,CM.TO,29.890893936157227,29.930295011047612,29.718131819475747,29.74844051649953,1819400,0.005608238378268737,28.12964973449707,0.11950232168237697,0
2016-04-15,CM.TO,29.854516983032227,29.93028986877596,29.651446204216203,29.799960412800537,1290800,-0.0012169911412718282,28.19336097717285,0.11976943091307546,0
2016-04-18,CM.TO,29.89998435974121,29.939385432056316,29.660541737814313,29.70297437335526,1679400,0.001522964740472199,28.25337028503418,0.11969510577573851,0
2016-04-19,CM.TO,30.23944664001465,30.28188158963907,29.996974757677545,30.006067135309458,1653200,0.011353259459577103,28.321725883483886,0.11797274665225561,0
2016-04-20,CM.TO,30.52435302734375,30.606189049649497,30.239446199532317,30.278849585237033,2049600,0.009421679924264792,28.40266704559326,0.11620801102338003,0
2016-04-21,CM.TO,30.463735580444336,30.61224980827835,30.312189789314242,30.506168216968337,1478400,-0.001985871636496661,28.49587100982666,0.11658154745018691,0
2016-04-22,CM.TO,30.357654571533203,30.59709489119568,30.309158807486682,30.384931704505398,1386000,-0.003482206199926119,28.595816955566406,0.11759687629039968,0
2016-04-25,CM.TO,30.36977767944336,30.427365823952382,30.172769987522745,30.309160283837848,1172800,0.0003993427055304366,28.704150466918946,0.11226026121948693,0
2016-04-26,CM.TO,30.663772583007812,30.848658619677305,30.384928902668772,30.41523759620039,1858200,0.009680508914737596,28.7960249710083,0.11471219463413268,0
2016-04-27,CM.TO,30.724390029907227,30.821379229540668,30.594060576111833,30.64255401972609,1359600,0.001976842436308912,28.877433166503906,0.11466504138540765,0
2016-04-28,CM.TO,30.842599868774414,30.848660682924063,30.418271193736157,30.59709411621646,2600200,0.0038474267105750304,28.949886322021484,0.11351124699539768,0
2016-04-29,CM.TO,30.71529769897461,30.98505131582826,30.58497054758057,30.61224767813139,2058600,-0.0041274785634620725,29.01871555328369,0.10242957527718648,0
2016-05-02,CM.TO,30.457679748535156,30.806235614095332,30.336442624113467,30.797143234434724,1499000,-0.008387284829997066,29.08586608886719,0.10501787444305292,0
2016-05-03,CM.TO,29.96363639831543,30.309160644672257,29.77875033339049,30.309160644672257,2145200,-0.016220649579963053,29.1468489074707,0.11628513127729201,0
2016-05-04,CM.TO,29.687828063964844,29.93030232421197,29.61205514668836,29.781788053823714,2222000,-0.009204768429445065,29.20638816833496,0.1193499706833787,0
2016-05-05,CM.TO,29.76662254333496,29.933323830291243,29.59689200563776,29.76662254333496,1609000,0.002654100502076151,29.277984008789062,0.11849025733891957,0
2016-05-06,CM.TO,29.83028221130371,29.930303019409298,29.61205583449369,29.702984262299857,1473000,0.0021386258342233067,29.337617301940917,0.11612361371135091,0
2016-05-09,CM.TO,29.978790283203125,30.148520833669366,29.79693347924036,29.824212924796903,2099400,0.004978433353310274,29.398304252624513,0.11558287002966376,0
2016-05-10,CM.TO,30.360675811767578,30.491005252748344,30.060615866218257,30.08183217928933,1710000,0.012738523634771903,29.46680866241455,0.11845282318463646,0
2016-05-11,CM.TO,30.469802856445312,30.59407154148051,30.26066888036449,30.312196217704262,2597200,0.0035943549265604613,29.52827262878418,0.11806746623817894,0
2016-05-12,CM.TO,30.606185913085938,30.68195880102322,30.212165970850048,30.56678253141933,1921600,0.0044760071892546716,29.58815216064453,0.11537717331402415,0
2016-05-13,CM.TO,30.654678344726562,30.715295728108895,30.469792319284014,30.606184900501688,1524600,0.0015843996954840733,29.646126708984376,0.11469091581870315,0
2016-05-16,CM.TO,30.691057205200195,30.888067215010167,30.615284302381394,30.64256143744153,1155400,0.0011867311104860612,29.704409675598143,0.11196258638852846,0
2016-05-17,CM.TO,30.491008758544922,30.794100301497465,30.430391374916397,30.772883985986986,1838600,-0.00651813475559837,29.751085815429686,0.11346227395934093,0
2016-05-18,CM.TO,30.757734298706055,30.788042993971608,30.43039484006554,30.460703535331092,1934800,0.008747678447548424,29.796208839416504,0.11427419859997771,0
2016-05-19,CM.TO,30.551639556884766,30.718338578643245,30.206115257349538,30.648628793378766,3430400,-0.006700582683359713,29.8343953704834,0.1108922807991466,0
